127.0.0.1 - - [16/Apr/2016:20:09:55 +0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/ HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/css/metro/blue/jtable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/css/jquery-ui-1.10.4.custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/js/jquery-1.8.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/js/jquery-ui-1.10.4.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/js/jquery.jtable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/js/userDefieneJTableJs.js HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/css/metro/blue/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:57 +0600] "GET /JtableTest/css/metro/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:09:58 +0600] "POST /JtableTest/StudentController?action=list HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/ HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/css/metro/blue/jtable.css HTTP/1.1" 200 17753
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/css/jquery-ui-1.10.4.custom.css HTTP/1.1" 200 31300
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/js/jquery-1.8.2.js HTTP/1.1" 200 274337
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/js/userDefieneJTableJs.js HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/js/jquery-ui-1.10.4.custom.js HTTP/1.1" 200 436710
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/js/jquery.jtable.js HTTP/1.1" 200 212794
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/css/metro/blue/loading.gif HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/css/metro/add.png HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "GET /JtableTest/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:07 +0600] "POST /JtableTest/StudentController?action=list HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:10 +0600] "GET /JtableTest/css/images/ui-icons_777777_256x240.png HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:30 +0600] "POST /JtableTest/StudentController?action=create HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:30 +0600] "GET /JtableTest/css/metro/edit.png HTTP/1.1" 200 3359
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:10:30 +0600] "GET /JtableTest/css/metro/delete.png HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:11:17 +0600] "POST /JtableTest/StudentController?action=update HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [16/Apr/2016:20:11:24 +0600] "POST /JtableTest/StudentController?action=delete HTTP/1.1" 200 167
